n,n commande,date creation,date expedition,dernier statut,date dernier statut,date livraison/echec,prenom,nom,Gender,telephone,adresse,commune,wilaya,designation,prix,type,Brandt,frais livraison,freeshipping,paiement,id importation,type colis,premiere tentative,date premiere tentative,deuxieme tentative,date deuxieme tentative,troisieme tentative,date troisieme tentative
11,Had-m,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,slimani,,F,,,Touggourt,Ouargla,Jennyfer T-Shirt -42Mouse -Noir,1750,Mode Femme,Jennyfer,1050,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
12,cmndByphone/Z,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-08,2022-03-03,Adel ,,H,4318549612,centre ville ,Setif,Setif,"Enigma Ordinateur De Bureau 19"" - Pc Composee - I5-650 - 4G - 500G -Gdvd- Garantie 1 An",43000,pc,Enigma,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-03,,,,
13,1073,2022-03-01,2022-03-02,Retourne au vendeur,2022-03-13,2022-03-07,,,F,,centre ville,Biskra,Biskra,"Telestar LED TV 32"" HD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",23300,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-05,Tentative echouee (Client no-show),2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
14,1023,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,,,F,1662201197,centre ville,Ain Defla,Ain Defla,LG TV UHD 65 pouce UM7450 Series TV LED Smart IPS 4K Ecran 4K HDR avec ThinQ AI,189900,tv,LG,900,oui,paye,0,ecommerce,Tentative echouee (Commune erronee),2022-03-02,Tentative echouee (Client absent (reporte)),2022-03-03,Livre,2022-03-05
15,1027,2022-03-01,2022-03-01,Livre,2022-03-06,2022-03-06,,Meryl,H,8336991057,centre ville,Corso,Boumerdes,LG TV NanoCell 65 pouce SM8200 Series TV LED Smart NanoCell Ecran 4K HDR avec ThinQ AI,209900,tv,LG,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Livre,2022-03-06,,
16,1057,2022-03-01,2022-03-01,Livre,2022-03-03,2022-03-03,,,F,6229599297,centre ville,Bordj Bou Arreridj,Bordj Bou Arreridj,"Brandt Televiseur Smart - Led 65"" Uhd - Baf65U9Sa - Noir",137200,tv,Brandt,900,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
17,1059,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,,Carlynn,F,3695811831,Bechar ville,Bechar,Bechar,"Telestar Led Tv 43"" Fhd + Demo Integre+ Support Mural - Noir - Garantie 2 Ans",39900,tv,Telestar,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-04,Livre,2022-03-05,,
18,cmnd/A,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,,Orelia,F,1567905448,centre ville ,Ouargla,Ouargla,"Brandt Televiseur Led 50"" Full Hd - Baf50F9T - Noir.",56900,tv,Brandt,1050,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
19,1052,2022-03-01,2022-03-01,Livre,2022-03-03,2022-03-03,,Elna,F,3683769883,centre ville,Jijel,Jijel,Hp Pavilion - 15-Cs0016Nk - I3-8130U 4Go 1Tb Burgandy - Garantie 1 An,75900,pc,Hp,900,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
20,cmnd/Z,2022-03-01,2022-03-01,Livre,2022-03-03,2022-03-03,,,F,8448692006,,Tadjenanet,Mila,Pack 6 Soquettes Invisibles Unisexe - Blanc/Noir/Gris,600,Mode Femme,Pack,900,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
21,1051,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,,F,8067707920,centre ville,Cheraga,Alger,SUDE Pyjama S3302 Saumon Et Bleu,1900,Mode Femme,SUDE,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
22,1050,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-16,2022-03-06,,Eleanora,F,1855816625,ouzelleguene w bejaia,Ouzellaguen,Bejaia,MI-DZ Haut Col Ras Du Cou Sans Manches - Rose,1900,Mode Femme,MI-DZ,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-03,Tentative echouee (Client ne repond pas),2022-03-05,Echec livraison (Client no-show),2022-03-06
23,cmnd/Z,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-14,2022-03-08,,,H,3451093640,centre ville ,Bechar,Bechar,Parure Femme - 3 Pieces - Silver,2200,Mode Femme,Parure,1050,non,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Tentative echouee (Client ne repond pas),2022-03-07,Echec livraison (Client ne repond pas),2022-03-08
24,1048,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-14,2022-03-06,,Shannen,H,6526217013,centre ville,Guelma,Guelma,Hp Pavillion Gaming - 5Mm59Ea - I5-8300H 12Gb 1Tb + 128 Ssd Gtx 1050 4Gb 15.6 - Noir - Garantie 1 An,165000,pc,Hp,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-03,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Client ne repond pas),2022-03-06
25,cmnd/A,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-10,2022-03-07,,,H,,,Hammedi,Boumerdes,Lenovo Ideapad 330 15.6 - Amd Ryzens 3 - 4 Go - 1 To - FreeDos - Gris - Garantie 1 An,56900,pc,Lenovo,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Tentative echouee (Client ne repond pas),2022-03-06,Echec livraison (Annule par le client),2022-03-07
26,1044,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,,Albrecht,H,,centre ville,Ouargla,Ouargla,"DELL Laptop Gaming Inspiron 5587 G5 - 15.6""- I7-8750H - 8G - 128GB SSD - 1 To HDD - Carte Graphique 4 Gb 1050TI - Noir - 1 An",230000,pc,DELL,1050,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
27,1043,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-08,2022-03-03,,Sheffie,H,4976588458,centre ville,El Aouana,Jijel,"Enigma Ordinateur De Bureau 24"" - Pc Composee - Core2 Duo E6550 - 2G - 160G - Noir - Garantie 1 An",31900,pc,Enigma,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-03,,,,
28,echange,2022-03-01,,Retourne au vendeur,2022-03-06,,,,H,2616748542,,Sidi Bel Abbes,Sidi Bel Abbes,Boitier Pc - ANTEC-VSK3000 - Noir,5000,pc,Boitier,0,oui,paye,0,ecommerce,,,,,,
29,echange,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,Christos,H,1631685542,,Oran,Oran,"Asus VivoBook X540U 15.6"" - Intel I3-7020U - 4 Go - 1 To - Win 10 - Noir - Garantie 1 An",67900,pc,Asus,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
30,1042,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,Hadlee,F,6659510216,centre ville,Ouled Mimoun,Tlemcen,Lenovo Ideapad 330 15.6 - Amd Ryzens 3 - 4 Go - 1 To - FreeDos - Noir - Garantie 1 An,56900,pc,Lenovo,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
31,cmnd/A,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-21,2022-03-08,,Hollis,F,3683159903,centre ville ,Tindouf,Tindouf,"Enigma Ordinateur De Bureau 19"" - Pc Composee - I5-650 - 4G - 500G -Gdvd- Garantie 1 An",43000,pc,Enigma,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Tentative echouee (Telephone injoignable),2022-03-07,Echec livraison (Client absent (reporte)),2022-03-08
32,1041,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,Toby,H,2431556754,centre ville,Tenes,Chlef,"Telestar LED TV 32"" HD DVB-T2 DOLBY + Support Mural - Noir - Garantie 2 Ans",23300,tv,Telestar,900,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
33,cmnd/Z,2022-03-01,2022-03-01,Livre,2022-03-03,2022-03-03,,Alix,F,6009261016,loudiad El Beyedh,El Bayadh,El Bayadh,LG TV UHD 65 pouce UM7450 Series TV LED Smart IPS 4K Ecran 4K HDR avec ThinQ AI,189900,tv,LG,1050,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
34,#1102,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-10,2022-03-07,,Brenn,F,3795852842,mascara ville ,Mascara,Mascara,LG TV NanoCell 65 pouce SM8200 Series TV LED Smart NanoCell Ecran 4K HDR avec ThinQ AI,209900,tv,LG,750,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-03,Tentative echouee (Client ne repond pas),2022-03-05,Echec livraison (Telephone injoignable),2022-03-06
35,1071,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-26,2022-03-12,,Meryl,F,9486186546,centre ville,Tamanrasset,Tamanrasset,"Brandt Televiseur Smart - Led 65"" Uhd - Baf65U9Sa - Noir",137200,tv,Brandt,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-09,Tentative echouee (Client ne repond pas),2022-03-10,Echec livraison (Client ne repond pas),2022-03-12
36,#1125,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-21,2022-03-10,,Harrie,F,3696215303,adrar ville,Adrar,Adrar,"Telestar Led Tv 43"" Fhd + Demo Integre+ Support Mural - Noir - Garantie 2 Ans",39900,tv,Telestar,1400,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client absent (reporte)),2022-03-10
37,1062,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-21,2022-03-12,,,F,1547924451,centre ville,Adrar,Adrar,"Brandt Televiseur Led 50"" Full Hd - Baf50F9T - Noir.",56900,tv,Brandt,1400,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client ne repond pas),2022-03-12
38,#1142,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Velvet,H,4161372780,bordj menaiel ville,Bordj Menaiel,Boumerdes,Hp Pavilion - 15-Cs0016Nk - I3-8130U 4Go 1Tb Burgandy - Garantie 1 An,75900,pc,Hp,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
39,#1144,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-13,2022-03-08,,,H,2217839288,tebessa ville,Tebessa,Tebessa,Hp Pavilion - 4Pn28Ea - I3-8130U 4Go 1Tb White/Gold - Garantie 1 An,75900,pc,Hp,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Tentative echouee (Telephone injoignable),2022-03-06,Echec livraison (Client absent (reporte)),2022-03-07
40,1029,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,,Gwennie,H,9295148965,centre ville,Souani,Tlemcen,"Asus Vivobook 15"" - X540L I3-5005U - 4Gb - 500 Gb Hdd - Gris - Garantie 1 An",61900,pc,Asus,750,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
41,1053,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,nabila,Vincent,H,1494464732,centre ville,Belouizdad,Alger,"DELL Inspiron 5570 15.6"" - CORE I7 7500U - 8 Gb - 1 Tb - AMD RADEON 530 4 Gb - Silver - Garantie 1 An",130000,pc,DELL,750,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
42,1028,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-10,2022-03-05,,,H,6582721494,centre ville,Zeribet El Oued,Biskra,"Asus Ordinateur X540U - Ram 4Go - I3-7020U - 4Gb -1To - 15,6"" Hd - Windows 10 - Silver - Garantie 1 An",65800,pc,Asus,1050,oui,paye,0,ecommerce,Echec livraison (Client incapable de payer),2022-03-05,,,,
43,#1156,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,,Romain,,5516897252,Bouzareah ,Bouzareah,Alger,"Hp Ordinateur De Bureau Pro Mt 18.5"" - Core I3 7100 - 4 Gb - 500 Gb - Noir - Garantie 1 An",71500,pc,Hp,750,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
44,#1158,2022-03-02,2022-03-02,Livre,2022-03-07,2022-03-07,,,F,4149993865,centre ville,Adrar,Adrar,"Lenovo Ideapad 130 15,6"" - Core™ I3-7020U - 4 Gb - 1 To Hdd - Noir - Garantie 1 An",59900,pc,Lenovo,1400,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
45,#1159,2022-03-02,2022-03-02,Livre,2022-03-07,2022-03-07,,Channa,F,6115845272,ain ben beida,Ain Ben Beida,Guelma,"DELL Inspiron 3581 15.6"" - Core I3 7020U - 4 Gb Ddr4 - 1 To - Noir - Garantie 1 An",68900,pc,DELL,900,oui,paye,0,ecommerce,Livre,2022-03-07,,,,
46,1000,2022-03-02,2022-03-02,Livre,2022-03-06,2022-03-06,,,F,7074141063,centre ville,Ghardaia,Ghardaia,Givenchy Eau de Parfum - L'Interdit - 80 Ml,15449,Parfums,Asus,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-05,Livre,2022-03-06,,
47,#1160,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-13,2022-03-08,,Alika,H,7457336121,el feidh,El Feidh,Biskra,Calvin Klein Eau De Parfum Femme - Eternity Moment - 100 Ml,6690,Parfums,Lenovo,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Tentative echouee (Telephone injoignable),2022-03-07,Echec livraison (Telephone injoignable),2022-03-08
48,991,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,,Dominique,H,6023571307,centre ville,El Bayadh,El Bayadh,Calvin Klein Eau de Toilette Homme - Ck One - 200 Ml,8300,Parfums,Lenovo,1050,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
49,986,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Aldus,H,1102739763,centre ville,Djemaa Beni Habibi,Jijel,Hugo Boss Eau De Parfum Femme - Boss - 75 Ml,7900,Parfums,Lenovo,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
50,#1164,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-21,2022-03-10,,Merell,F,3764319102,adrar ville,Adrar,Adrar,Calvin Klein Eau De Parfum Femme - CK BEAUTY - 100Ml,6750,Parfums,Lenovo,1400,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-07,Tentative echouee (Client ne repond pas),2022-03-08,Echec livraison (Client ne repond pas),2022-03-10
51,#1166,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,,Bernardina,F,8624017520,castor,Oran,Oran,Elizabeth Arden Eau de Parfum - 5th Avenue - 125 Ml,4580,Parfums,DELL,750,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
52,976,2022-03-02,2022-03-02,Livre,2022-03-08,2022-03-08,,Phyllis,F,2484896075,centre ville,El Oued,El Oued,Paco Rabanne Eau de Toilette Homme - 100 ml,6450,Parfums,DELL,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-06,Tentative echouee (Telephone injoignable),2022-03-07,Livre,2022-03-08
53,#1167,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Maribel,H,9944256347,"beni abbes, el ouata",El Ouata,Bechar,Suddenly Suddenly -Madam Glamour -Eau De Parfum 50ml,2600,Parfums,Lenovo,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-03,Livre,2022-03-05,,
54,1106,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Franny,H,6551897368,centre ville,Batna,Batna,Azzaro Eau De Toilette Pour Homme - Azzaro -100 Ml,6500,Parfums,Acer,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
55,#1168,2022-03-02,2022-03-02,Livre,2022-03-06,2022-03-06,,,H,3687542500,Ouargla ville,Ouargla,Ouargla,Azzaro AZZARO NOW MAN,4700,Parfums,Hp,1050,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
56,#1169,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Domenico,F,9996787141,N'gaous ville,N'Gaous,Batna,Burberry Body Eau De Parfum Pour Femme -85ml-,7900,Parfums,Enigma,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
57,#1174,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-06,2022-03-06,,Kath,F,8385348971,ville,Sidi Bel Abbes,Sidi Bel Abbes,Hugo Boss Eau De Toilette Homme - Just Different - 125 Ml,8550,Parfums,Enigma,500,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-03,Tentative echouee (Client ne repond pas),2022-03-05,Echec livraison (Client ne repond pas),2022-03-06
58,1074,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-26,2022-03-10,,Lynn,H,1612854153,centre ville,Tamanrasset,Tamanrasset,Ted Lapidus -Creation- Ted Lapidus Eau de Toilette 40ml,2999,Parfums,Enigma,1600,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-08,Tentative echouee (Client absent (reporte)),2022-03-09,Echec livraison (Client ne repond pas),2022-03-10
59,1075,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Donn,H,,centre ville,Ain Defla,Ain Defla,Hugo Boss Verte Eau De Toilette Homme - 125 Ml - 125Ml,7890,Parfums,Enigma,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-03,Livre,2022-03-05,,
60,#1177,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Sibeal,,3564969345,ville,Ain M'lila,Oum El Bouaghi,"DELL Inspiron 3576 15.6"" - Core I5 7200U - 4 Gb Ddr4 - 1 Tb - Amd Radeon™ 520 2 Gb - Noir - Garantie 1 An",89100,pc,DELL,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
61,1080,2022-03-02,2022-03-02,Livre,2022-03-09,2022-03-09,,Cooper,H,9726005399,centre ville,Beni Ounif,Bechar,"Enigma Ordinateur De Bureau 24"" - Pc Composee - I5-650 - 4G - 500G - Garantie 1 An",49500,pc,Enigma,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-08,Livre,2022-03-09,,
62,1079,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-09,2022-03-06,,Barb,H,4021972825,centre ville,Gdyel,Oran,Canon Imprimante Laser - Canon - Lbp6030 - Blanc,19900,imprimantes,Canon,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-03,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Client absent (reporte)),2022-03-06
63,1084,2022-03-02,2022-03-02,Livre,2022-03-05,2022-03-05,,Jillane,H,8662666464,centre ville,El Eulma,Setif,Canon Imprimante Laser - Canon - Lbp6030 WIFI - Blanc,23900,imprimantes,Canon,900,oui,paye,0,ecommerce,Livre,2022-03-05,,,,
64,1101,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-10,2022-03-07,,Xaviera,H,1337984546,tizi rached ville,Tizi Rached,Tizi Ouzou,Canon Imprimante - MF3010 - Multifonction - Noir,32400,imprimantes,Canon,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-05,Tentative echouee (Client absent (reporte)),2022-03-06,Echec livraison (Telephone injoignable),2022-03-07
65,1088,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-09,2022-03-06,,Misha,H,4036959631,hai khemisti sedikia ,Oran,Oran,Canon Imprimante Laser - Canon - LBP6030 - Noir,19900,imprimantes,Canon,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-03,Tentative echouee (Client ne repond pas),2022-03-05,Echec livraison (Client ne repond pas),2022-03-06
66,1090,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-10,2022-03-06,,,H,1069482740,centre ville,Birine,Djelfa,Canon Imprimante Multifonction-Pixma G2411- Noir,24000,imprimantes,Canon,1050,oui,paye,0,ecommerce,Echec livraison (Client absent (echoue)),2022-03-06,,,,
67,1098,2022-03-02,2022-03-02,Livre,2022-03-06,2022-03-06,,Quinn,F,1861721025,ouled sellam ville,Ouled Sellam,Batna,Sharp Photocopieur Numerique Multifonction - Ar-5620V - Gris,91000,imprimantes,Sharp,900,oui,paye,0,ecommerce,Livre,2022-03-06,,,,
68,cmndbyphone/z,2022-03-02,2022-03-02,Livre,2022-03-03,2022-03-03,,Durante,F,5738083893,ain naadja ,Djasr Kasentina,Alger,Sharp Photocopieur Numerique Multifonction - Ar-5620Nm - Gris,118000,imprimantes,Sharp,750,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
69,TEL,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-09,2022-03-06,,Doris,F,3487813515,timizart loghbar,Timizart,Tizi Ouzou,Sharp Photocopieur Numerique Multifonction - Ar-5620N - Gris,131250,imprimantes,Sharp,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-06,,,,
70,tel,2022-03-02,2022-03-02,Retourne au vendeur,2022-03-10,2022-03-06,,Shamus,F,4506190713,sidi okba,Sidi Okba,Biskra,"Lenovo Ideapad 110 15.6""- Intel Celeron N3060 - 500 Go - 2 Go - Noir - Freedos - Garantie 1 An",44900,pc,Lenovo,1050,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-05,Echec livraison (Commande double),2022-03-06,,
71,#1200,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-10,2022-03-07,,Roxi,F,4453606994,Ben freha,Ben Freha,Oran,Asus Vivobook X540N - Celeron N3350 - 4Go - 500Go - 15’ HD -Wifi - Endless - Gris - Garantie 1An,42700,pc,Asus,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Livre,2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
72,#1199,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-12,2022-03-07,,Doralynne,F,6922752915,barika,Barika,Batna,"Asus VivoBook X540M 15.6"" - Celeron N4000 - 4 Go - 1 To - Win 10 - Noir - Garantie 1 An",49900,pc,Asus,900,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-06,Echec livraison (Client absent (echoue)),2022-03-07,,
73,#1198,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-08,2022-03-07,,Baird,F,1261708106,merine,Merine,Sidi Bel Abbes,"Lenovo Laptop Gaming Legion Y530 15,6"" - I7-8750HQ - 16 Go - 2 To + 256 SSD - Noir - Garantie 1 An",250000,pc,Lenovo,500,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-05,Tentative echouee (Client ne repond pas),2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
74,#1197,2022-03-03,2022-03-03,Retourne au vendeur,2022-03-13,2022-03-07,,,F,2362143753,à partir de 16h,Hussein Dey,Alger,"Monueal Ordinateur De Bureau 19"" - Pc Composee - Core2 Duo E6300 - 2G - 160G - Noir - Garantie 1 An",27000,pc,Monueal,750,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-05,Tentative echouee (Client ne repond pas),2022-03-06,Echec livraison (Client ne repond pas),2022-03-07
